latitudeAirport,longitudeAirport,nameAirport,nameCountry,geometry
-1.711712,-29.482385,unkown,unkown,POINT (-29.482385 -1.711712)
-0.810811,-38.544395,unkown,unkown,POINT (-38.544395 -0.810811)
-0.810811,-37.643404,unkown,unkown,POINT (-37.643404 -0.810811)
-0.810811,-36.742413,unkown,unkown,POINT (-36.742413 -0.810811)
-0.810811,-35.841422,unkown,unkown,POINT (-35.841422 -0.810811)
-0.810811,-34.94043,unkown,unkown,POINT (-34.94043 -0.810811)
-0.810811,-34.039439,unkown,unkown,POINT (-34.039439 -0.810811)
-0.810811,-33.138448,unkown,unkown,POINT (-33.138448 -0.810811)
-0.810811,-32.237457,unkown,unkown,POINT (-32.237457 -0.810811)
-0.810811,-31.336466,unkown,unkown,POINT (-31.336466 -0.810811)
-0.810811,-30.435475,unkown,unkown,POINT (-30.435475 -0.810811)
-0.810811,-29.534484,unkown,unkown,POINT (-29.534484 -0.810811)
-0.810811,-28.633493,unkown,unkown,POINT (-28.633493 -0.810811)
0.09009,-37.657482,unkown,unkown,POINT (-37.657482 0.09009)
0.09009,-36.75658,unkown,unkown,POINT (-36.75658 0.09009)
0.09009,-35.855678,unkown,unkown,POINT (-35.855678 0.09009)
0.09009,-34.954776,unkown,unkown,POINT (-34.954776 0.09009)
0.09009,-34.053874,unkown,unkown,POINT (-34.053874 0.09009)
0.09009,-33.152972,unkown,unkown,POINT (-33.152972 0.09009)
0.09009,-32.25207,unkown,unkown,POINT (-32.25207 0.09009)
0.09009,-31.351168,unkown,unkown,POINT (-31.351168 0.09009)
0.09009,-30.450266,unkown,unkown,POINT (-30.450266 0.09009)
0.09009,-29.549364,unkown,unkown,POINT (-29.549364 0.09009)
0.09009,-28.648462,unkown,unkown,POINT (-28.648462 0.09009)
0.09009,-27.74756,unkown,unkown,POINT (-27.74756 0.09009)
0.990991,-36.735328,unkown,unkown,POINT (-36.735328 0.990991)
0.990991,-35.834293,unkown,unkown,POINT (-35.834293 0.990991)
0.990991,-34.933257,unkown,unkown,POINT (-34.933257 0.990991)
0.990991,-34.032221,unkown,unkown,POINT (-34.032221 0.990991)
0.990991,-33.131186,unkown,unkown,POINT (-33.131186 0.990991)
0.990991,-32.23015,unkown,unkown,POINT (-32.23015 0.990991)
0.990991,-31.329114,unkown,unkown,POINT (-31.329114 0.990991)
0.990991,-30.428079,unkown,unkown,POINT (-30.428079 0.990991)
0.990991,-29.527043,unkown,unkown,POINT (-29.527043 0.990991)
0.990991,-28.626007,unkown,unkown,POINT (-28.626007 0.990991)
0.990991,-27.724972,unkown,unkown,POINT (-27.724972 0.990991)
0.990991,-26.823936,unkown,unkown,POINT (-26.823936 0.990991)
0.990991,-25.9229,unkown,unkown,POINT (-25.9229 0.990991)
1.891892,-35.77724,unkown,unkown,POINT (-35.77724 1.891892)
1.891892,-34.875847,unkown,unkown,POINT (-34.875847 1.891892)
1.891892,-33.974455,unkown,unkown,POINT (-33.974455 1.891892)
1.891892,-33.073063,unkown,unkown,POINT (-33.073063 1.891892)
1.891892,-32.171671,unkown,unkown,POINT (-32.171671 1.891892)
1.891892,-31.270278,unkown,unkown,POINT (-31.270278 1.891892)
1.891892,-30.368886,unkown,unkown,POINT (-30.368886 1.891892)
1.891892,-29.467494,unkown,unkown,POINT (-29.467494 1.891892)
1.891892,-28.566102,unkown,unkown,POINT (-28.566102 1.891892)
1.891892,-27.664709,unkown,unkown,POINT (-27.664709 1.891892)
1.891892,-26.763317,unkown,unkown,POINT (-26.763317 1.891892)
1.891892,-25.861925,unkown,unkown,POINT (-25.861925 1.891892)
1.891892,-24.960533,unkown,unkown,POINT (-24.960533 1.891892)
2.792793,-34.782476,unkown,unkown,POINT (-34.782476 2.792793)
2.792793,-33.880504,unkown,unkown,POINT (-33.880504 2.792793)
2.792793,-32.978532,unkown,unkown,POINT (-32.978532 2.792793)
2.792793,-32.07656,unkown,unkown,POINT (-32.07656 2.792793)
2.792793,-31.174588,unkown,unkown,POINT (-31.174588 2.792793)
2.792793,-30.272615,unkown,unkown,POINT (-30.272615 2.792793)
2.792793,-29.370643,unkown,unkown,POINT (-29.370643 2.792793)
2.792793,-28.468671,unkown,unkown,POINT (-28.468671 2.792793)
2.792793,-27.566699,unkown,unkown,POINT (-27.566699 2.792793)
2.792793,-26.664727,unkown,unkown,POINT (-26.664727 2.792793)
2.792793,-25.762754,unkown,unkown,POINT (-25.762754 2.792793)
2.792793,-24.860782,unkown,unkown,POINT (-24.860782 2.792793)
2.792793,-23.95881,unkown,unkown,POINT (-23.95881 2.792793)
