cluster,longitude,latitude,weather_risk,bird_risk,temperature_2m,precipitation,wind_speed,humidity,bird_obs_count
22,-59.487835000000004,13.080732,4.412210526315789,5.180910099097975,29.1,1.4,42.181328,82.0,73
23,-77.49233558719892,6.432145579762515,6.390000000000001,3.2967995396436067,28.5,2.0,34.211584,85.0,40
24,5.083332999999988,36.74999999999999,1.9254185248910427,0.39210560847676823,23.5,0.0,5.637136,92.0,4
25,-64.71062962136075,10.053969694067865,3.4447486762407573,6.465453180412198,30.1,0.0,41.598175999999995,76.0,104
26,6.183332999999996,35.566666000000005,2.4138861705897185,0.0,17.8,0.0,6.609056,57.0,0
27,-70.22111,8.618055999999997,2.2371712935759405,7.274682069659875,28.7,0.6,16.717024,89.0,130
28,-68.27687,12.133402999999994,3.353333333333333,6.2468890114860045,29.4,0.0,32.267744,78.0,98
29,-61.22104179795484,12.749875757906208,3.562,0.0,28.1,0.1,34.0172,79.0,0
30,-69.33459378960684,10.02313439035697,3.174067157848825,4.2305018961951335,32.8,0.0,37.127344,66.0,55
31,5.738055999999997,34.79332999999999,2.069855388952511,0.0,27.1,0.0,26.047456,45.0,0
32,4.162206523354144,35.19594954454498,2.016478979988011,0.0,20.8,0.0,26.630608,60.0,0
33,9.013672659286382,39.30216101475979,1.9174338564686202,5.180910099097975,21.1,0.0,7.192208000000001,82.0,73
34,-75.25,7.600000000000001,1.5175979541111604,0.0,28.0,0.0,8.358512,90.0,0
35,-7.416364051276746,33.49090695105227,1.9331456466546775,2.2894841419643375,21.3,0.0,25.853072,77.0,26
36,-2.259532613949067,31.634699987596786,3.0762451408473908,0.0,29.0,0.0,27.602528,20.0,0
37,-71.62671447135928,10.61330364002559,1.795286161925718,6.988057880877978,31.0,0.0,7.386591999999999,86.0,120
38,-67.03056489378632,10.699290232177212,1.8051836008991307,8.443273696320027,29.3,0.0,13.218112,81.0,186
39,1.3316669999999566,36.21222299999998,2.5510801194150985,0.0,23.0,0.0,14.773183999999999,93.0,0
40,-74.02548931152518,6.439876729416603,2.571470614044344,0.0,29.4,0.0,15.55072,79.0,0
41,-67.43333399999999,8.933333000000001,2.601732322385222,0.0,29.5,0.5,17.300176,91.0,0
42,-76.66332999999999,5.079167000000004,6.339094267653177,0.0,26.1,1.0,14.5788,91.0,0
43,-75.80031034656288,4.801594503858131,2.65343126615475,9.61225792168278,26.8,0.0,13.801264,94.0,325
44,-80.43333399999999,7.9666670000000055,3.4328564245597004,6.80180978183696,29.0,0.0,28.18568,87.0,114
45,-72.29011246689531,7.836684214429364,3.3566666666666665,8.173164759472654,27.8,0.0,41.209407999999996,79.0,170
46,-64.19194000000002,10.447778000000001,2.970022583419696,0.0,30.2,0.0,12.829343999999999,86.0,0
47,-63.372780234100915,10.779904596976309,2.2417733467958563,0.0,29.5,0.0,21.965392,81.0,0
48,-68.95706,12.184615000000003,3.3686666666666665,6.05446289628399,30.6,0.0,40.043104,79.0,93
49,-70.88636756804264,10.983790638700995,2.7005641189693095,5.725850680512733,32.0,0.0,24.686767999999997,83.0,85
50,-74.76993264885587,9.277414317730322,3.400827490501997,2.0546639749666595,30.1,0.0,13.995648000000001,84.0,23
51,-69.681946,11.415833,2.2801384773797397,8.079500913792458,34.2,0.0,23.909232000000003,82.0,165
52,6.441625257266501,36.20652837731252,1.4064102641001974,1.563351834036163,19.2,0.0,12.829343999999999,84.0,17
53,-73.10926945969126,10.008362469751207,1.740847187402692,0.0,27.3,0.0,14.190032,87.0,0
54,-74.816666,7.616667000000001,1.6597456486540625,1.563351834036163,27.0,0.0,9.913584,84.0,17
55,1.094105000000019,33.71780400000001,3.1466666666666665,0.0,14.4,0.0,50.734224000000005,44.0,0
56,-73.76652833154755,7.156565159823672,4.008610264766658,2.2894841419643375,28.6,0.0,10.885504,77.0,26
57,-64.18001285149968,8.97720791181561,,0.0,,,,,0
58,-75.58731047826716,6.262176398512794,2.1204781713480036,9.44423787388517,27.1,0.0,6.4146719999999995,86.0,289
59,-69.53333,7.166667000000001,2.7456697601590028,0.0,29.7,0.7,14.384416000000002,86.0,0
60,-4.399999999999993,31.949999999999992,2.9770615599421064,2.1337213893344655,28.3,0.0,17.688944,21.0,24
61,-9.673546137548822,31.509566365172773,2.9166666666666665,3.9346934028736658,20.2,0.0,46.846544,77.0,50
62,-13.105043748857018,27.125257209371508,3.076666666666666,0.0,25.8,0.0,58.3152,81.0,0
63,-145.33333000000002,-16.683332000000004,3.1566666666666663,0.0,25.5,0.0,51.317375999999996,71.0,0
64,-145.65224999999998,-16.05348599999999,3.2166666666666663,0.0,25.5,0.0,59.092735999999995,73.0,0
65,-60.94414178372895,14.550285947346804,4.617693986776662,3.6871635449307405,26.6,2.4,15.356336,90.0,46
66,-4.982137999999989,33.93079000000001,2.129441042405097,2.0546639749666595,24.5,0.0,23.909232000000003,78.0,23
67,-141.6917421941973,-16.088023721977443,3.1199999999999997,0.0,25.3,0.0,56.760128,66.0,0
68,-140.16446000000002,-15.99095000000001,3.365333333333333,0.0,24.5,0.1,61.814112,72.0,0
69,-13.869893000000005,28.450605000000007,3.313333333333333,4.727075759569514,24.3,0.0,41.015024000000004,84.0,64
70,8.768128322666666,34.37052247793858,1.7061477078721325,0.0,26.0,0.0,18.660864,50.0,0
71,5.883333000000027,36.800000000000004,1.8763015494120143,2.2894841419643375,23.5,0.0,9.913584,91.0,26
72,-10.12087925656697,28.967816883401177,2.692988728283998,2.5173643242143475,22.7,0.0,37.127344,86.0,29
73,-17.200000000000006,28.016665999999994,2.9899999999999998,0.09950166250831893,24.5,0.0,29.351983999999998,81.0,1
74,-61.78611,12.004167000000006,3.6133333333333333,5.551419337770589,31.5,0.0,25.26992,78.0,81
75,-90.282776,-0.4347219999999964,3.603333333333333,3.8121660819385914,23.9,0.0,52.289296,87.0,48
76,-62.29999999999999,10.566666999999999,3.8115384687157396,0.0,30.6,2.1,19.4384,91.0,0
77,-69.67589372437367,9.062196357143524,2.168838989185181,8.227155900301222,29.4,0.3,23.909232000000003,86.0,173
78,-142.53333999999998,-17.533332999999992,3.4,0.0,25.2,0.0,43.153248,62.0,0
79,-141.07164020144953,-17.99514966018108,3.4,0.0,24.5,0.0,55.39944,66.0,0
80,3.199999999999979,33.16666800000002,3.2466666666666666,0.0,21.1,0.0,44.902704,39.0,0
81,-72.63333,6.033333000000002,3.57805028156149,0.0,16.0,0.0,24.881152,86.0,0
82,-77.74999999999999,7.116667000000003,6.230774382403045,0.0,25.7,2.3,18.46648,89.0,0
83,-145.11667,-15.766667000000007,3.233333333333333,0.0,25.5,0.0,57.34328,69.0,0
84,-146.66667,-15.783332999999997,3.302,0.0,25.7,0.1,55.982592000000004,75.0,0
85,-144.38318808371537,-16.23279974039447,2.98,0.0,25.5,0.0,51.317375999999996,69.0,0
86,-71.40258039589003,8.577833995015482,4.47274463304072,8.68664478851507,23.8,0.0,14.5788,70.0,203
87,2.983332999999991,33.833332000000006,2.2896892400894386,0.0,18.4,0.0,35.96104,48.0,0
88,-15.544058836870738,27.97851957124374,3.746666666666666,6.093721646414789,14.1,0.0,29.1576,96.0,94
89,-75.83743558317197,8.985844737307904,2.357329244221501,5.034146962085905,30.0,0.0,19.4384,88.0,70
90,-66.77308581774903,11.817568443047186,2.8962112957086172,0.0,29.2,0.0,37.321728,79.0,0
91,-70.3135951677098,11.789519513840844,3.38,4.113950303216448,31.5,0.0,29.546367999999998,80.0,53
92,-72.24167,11.391666999999996,1.9590471880691536,2.8822967723739037,31.8,0.0,5.248368,90.0,34
93,-5.533332999999998,33.88333,1.9939210413387582,1.8126924692201818,23.2,0.0,18.272096,74.0,20
94,10.753154999999975,35.761080000000014,2.906379495792221,3.1613859078764417,23.9,0.0,23.32608,69.0,38
95,-143.65436,-16.587921000000005,3.2866666666666666,0.0,25.2,0.0,48.790384,67.0,0
96,-2.9574730000000145,35.27707699999999,2.473056418561547,1.0416586470347178,22.0,0.0,26.630608,82.0,11
97,-74.94811072142647,5.356090862348227,6.0544951727820076,9.433010734201531,24.5,0.1,11.079888,86.0,287
98,0.0833329999999935,35.900000000000006,3.431520546824292,0.0,21.1,0.0,25.658687999999998,95.0,0
99,-63.03140466694784,9.874726371818042,,0.0,,,,,0
100,-68.05421043451247,10.377831428680313,2.2968728343239544,5.639507136784644,34.2,0.0,22.159776,87.0,83
101,-0.2830560000000308,33.521942,3.289333333333333,0.0,19.5,0.3,39.459952,62.0,0
102,-74.62686259662674,6.261622700860562,2.035216420427639,7.407597393541085,25.6,0.0,6.80344,90.0,135
103,-141.73052055747192,-14.2455924842993,3.591333333333333,0.0,24.9,0.4,64.729872,83.0,0
104,10.582641729680287,36.10109709473779,3.4,0.39210560847676823,24.6,0.0,56.954512,66.0,4
105,-3.0283329999999884,34.988888,2.206577438573535,0.19801326693244747,20.5,0.0,39.654336,89.0,2
106,-146.30620842752154,-16.12405739298439,3.2066666666666666,0.0,25.9,0.0,44.513936,70.0,0
107,-6.656140451632655,34.209117204418256,1.913971296241786,5.083558025390349,21.5,0.0,19.4384,79.0,71
108,-77.28333000000002,5.699999999999999,6.146211295708617,5.276334472589853,26.4,2.5,32.850896,86.0,75
109,-0.6083320548325161,35.623897465065994,1.7318748822121783,0.0,21.2,0.0,23.714848,87.0,0
110,-79.566666,8.666667,3.164334368940523,3.5596357891685857,28.6,1.4,37.127344,89.0,44
111,-1.9333329999999929,34.783333000000006,3.0089228130156975,0.0,19.5,0.0,27.408144,93.0,0
112,-5.8524559999999965,30.267142999999994,2.2630441112383557,0.6760618009405173,32.0,0.0,30.907056,17.0,7
113,-7.001444384229015,30.818767636233776,2.009689240089439,5.506710358827784,25.9,0.0,44.513936,38.0,80
114,-79.21667,8.983332999999998,2.6579671938007228,9.092820467105875,26.7,0.2,23.520464,99.0,240
115,-62.112153792748884,9.983356445974458,3.072911814178673,0.0,31.3,0.1,20.799087999999998,88.0,0
116,-138.96665999999993,-14.749999999999993,3.4553333333333334,0.0,24.4,0.1,67.451248,77.0,0
117,-74.79072908532731,9.89166729803852,1.8772359070226907,0.0,30.1,0.0,9.7192,84.0,0
118,-63.968990000000005,10.917189,5.059686169923257,6.2468890114860045,30.2,0.2,13.801264,81.0,98
119,11.90136815225333,36.92028850470519,3.05277950378976,0.7688365361336424,22.9,0.0,27.602528,82.0,8
120,-61.33941299999999,10.602089,3.19208102987562,6.957787359332959,30.0,0.0,11.468656000000001,90.0,119
121,-70.14208131661414,7.431984666047133,2.4049979654410065,0.0,29.7,0.0,17.300176,88.0,0
122,5.24050370244841,36.15380855269449,1.820704627575735,0.0,19.2,0.0,7.77536,76.0,0
